,Year of Study,Primary Programme,Gender,Department,Housing Type,Q2-How many events have you Participated in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?
1135,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Out of Campus,3,4,2,2.0
1136,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,4,1,1.0
1137,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,4,2,2.0
1138,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,4,2,3.0
1139,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,2,1.0
1140,1,Bachelor of Computing,F,School of Computing,Out of Campus,1,1,2,2.0
1141,1,Bachelor of Engineering,F,School of Engineering,Halls,2,8,2,2.0
1142,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,7,1,1.0
1143,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
1144,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,4,2,2.0
1145,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,3,2,2.0
1146,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,4,2,2.0
1147,3,Bachelor of Env Studies (FOS),F,School of Science,Out of Campus,1,4,2,2.0
1148,3,Bachelor of Business Admin,M,School of Business School,Residences,1,4,2,2.0
1149,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,3,2,2.0
1150,3,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,1,3,2,2.0
1151,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,1,2,3.0
1152,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,3,2,2.0
1153,3,Bachelor of Business Admin,F,School of Business School,Halls,1,1,1,2.0
1154,3,Bachelor of Science,M,School of Science,Halls,1,1,1,1.0
1155,2,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
1156,4,Bachelor of Engineering,F,School of Engineering,Halls,0,6,0,2.0
1157,2,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,2,2,2.0
1158,2,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,1,4,1,1.0
1159,1,Bachelor of Arts,M,School of Arts & Social Science,Halls,2,3,2,2.0
1160,3,Bachelor of Engineering,M,School of Engineering,Halls,1,2,2,2.0
1161,1,Bachelor of Science,M,School of Science,Out of Campus,2,1,2,1.0
1162,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,0,2,2,2.0
1163,2,Bachelor of Env Studies (FOS),F,School of Science,Out of Campus,3,5,2,2.0
1164,3,Bachelor of Laws,F,School of Law,Out of Campus,1,3,3,1.0
1165,3,Bachelor of Science,M,School of Science,Out of Campus,1,2,2,2.0
1166,4,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,1,2,2,2.0
1167,3,Bachelor of Science,F,School of Science,Out of Campus,2,1,2,2.0
1168,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,3.0
1169,1,Bachelor of Computing,M,School of Computing,Halls,1,3,2,2.0
1170,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,3,2,3.0
1171,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,3.0
1172,3,Bachelor of Science,F,School of Science,Out of Campus,0,3,2,1.0
1173,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,1,2,2.0
1174,1,Bachelor of Arts,M,School of Arts & Social Science,Halls,2,3,2,2.0
1175,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,3,2,2.0
1176,2,Bachelor of Business Admin,M,School of Business School,Residences,2,2,2,2.0
1177,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,1,2,2.0
1178,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,3,3,3.0
1179,1,Bachelor of Science (SDE),M,School of Design & Environment,Residential Colleges,4,5,3,3.0
1180,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,2,2,1.0
1181,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,0,3,2,2.0
1182,3,Bachelor of Science,M,School of Science,Out of Campus,1,5,2,2.0
1183,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,3,2,2.0
1184,2,Bachelor of Science,F,School of Science,Out of Campus,2,2,2,2.0
1185,1,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Halls,3,2,3,3.0
1186,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,3,3,2.0
1187,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,0,3,2,1.0
1188,3,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,4,2,3.0
1189,1,Bachelor of Arts,M,School of Arts & Social Science,Residences,2,5,2,2.0
1190,3,Bachelor of Science,F,School of Science,Halls,3,7,2,2.0
1191,1,Bachelor of Env Studies (FASS),F,School of Arts & Social Science,Out of Campus,1,2,3,2.0
1192,2,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
1193,1,Bachelor of Engineering,F,School of Engineering,Residential Colleges,2,4,2,2.0
1194,1,Bachelor of Science,M,School of Science,Residences,2,2,2,3.0
1195,1,Bachelor of Arts (SDE),F,School of Design & Environment,Residential Colleges,1,2,3,1.0
1196,1,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,0,3,2,2.0
1197,3,Bachelor of Science (Pharmacy),M,School of Science,Halls,3,2,2,2.0
1198,1,Bachelor of Engineering,F,School of Engineering,Halls,5,7,2,1.0
1199,1,Bachelor of Business Admin,F,School of Business School,Halls,1,4,2,1.0
1200,1,Bachelor of Science,F,School of Science,Out of Campus,2,2,2,2.0
1201,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,4,0,2.0
1202,4,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,2,3,2,2.0
1203,4,Bachelor of Dental Surgery,M,School of Dentistry,Out of Campus,2,2,1,2.0
1204,1,Bachelor of Engineering,M,School of Engineering,Halls,3,3,2,2.0
1205,1,Bachelor of Science,F,School of Science,Residential Colleges,1,2,2,2.0
1206,1,Bachelor of Env Studies (FASS),F,School of Arts & Social Science,Halls,2,5,2,1.0
1208,1,Bachelor of Science,F,School of Science,Out of Campus,1,1,2,2.0
1211,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,4,1,2.0
1212,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,0,3,2,3.0
1216,1,Bachelor of Science (SDE),F,School of Design & Environment,Halls,1,3,2,2.0
1217,4,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,3,3,2,3.0
1219,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,2,3,2.0
1220,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,0,2,2,3.0
1221,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,2,2,3.0
1222,2,Bachelor of Arts,F,School of Arts & Social Science,Residences,1,3,2,1.0
1224,2,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,1,4,1,1.0
1225,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,3,2,3.0
1226,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,1,1,2.0
1227,2,Bachelor of Science,M,School of Science,Residential Colleges,2,5,2,2.0
1228,2,Bachelor of Science,M,School of Science,Halls,1,1,2,1.0
1229,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,3,2,2.0
1230,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
1231,2,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,6,2,2.0
1232,2,Bachelor of Business Admin,M,School of Business School,Residential Colleges,2,4,2,3.0
1233,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,0,3,2,1.0
1234,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,4,2,2.0
1235,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,0,4,2,2.0
1236,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
1237,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,2,2.0
1238,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,1,2.0
1239,2,Bachelor of Business Admin,F,School of Business School,Halls,1,4,3,3.0
1240,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,0,3,1,2.0
1241,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,7,2,2.0
1242,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,4,1,2.0
1243,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,1,2.0
1244,3,Bachelor of Science (Pharmacy),M,School of Science,Halls,3,1,3,2.0
1245,1,Bachelor of Science,M,School of Science,Out of Campus,0,4,1,1.0
1246,3,Bachelor of Science (Pharmacy),M,School of Science,Halls,2,2,2,2.0
1247,1,Bachelor of Business Admin,F,School of Business School,Halls,3,7,2,2.0
1248,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,0,2.0
1249,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,4,2,2.0
1250,3,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
1251,1,Bachelor of Laws,M,School of Law,Out of Campus,1,2,3,2.0
1252,1,Bachelor of Science,F,School of Science,Out of Campus,3,2,2,2.0
1254,2,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
1255,4,Bachelor of Science,F,School of Science,Out of Campus,3,4,2,2.0
1256,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,2,3.0
1257,2,Bachelor of Engineering,M,School of Engineering,Residences,2,8,3,2.0
1258,2,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,1,4,2,2.0
1259,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,1,1,2.0
1260,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,2,2,1.0
1261,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,2,2,2.0
1262,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,5,3,2.0
1263,3,Bachelor of Computing,M,School of Computing,Out of Campus,0,3,1,1.0
1265,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,1,2,2.0
1266,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,1,2,3.0
1267,3,Bachelor of Business Admin,F,School of Business School,Halls,2,2,2,2.0
1268,1,Bachelor of Engineering,F,School of Engineering,Residential Colleges,2,2,2,2.0
1269,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,1,2,2.0
1270,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,4,2,2.0
1271,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,5,1,2.0
1272,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
1273,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,3,2,1.0
1274,3,Bachelor of Computing,F,School of Computing,Out of Campus,3,3,2,3.0
1275,2,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,1,3,2,2.0
1276,3,Bachelor of Science (SDE),F,School of Design & Environment,Halls,2,3,2,2.0
1277,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,1,1.0
1278,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,2,2,2.0
1279,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,5,2,2.0
1280,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,2,2.0
1281,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,3,3,2.0
1282,3,Bachelor of Arts,M,School of Foreign College,Out of Campus,3,9,2,2.0
1283,1,Bachelor of Business Admin,F,School of Business School,Halls,2,4,2,2.0
1284,3,Bachelor of Business Admin,F,School of Business School,Residential Colleges,3,1,3,2.0
1285,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,4,2,2.0
1287,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Out of Campus,0,2,2,2.0
1288,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,2,2,2.0
1289,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,3,2,2.0
1290,3,Bachelor of Science,F,School of Science,Out of Campus,2,2,1,3.0
1291,3,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,3,9,2,2.0
1292,3,Bachelor of Computing,F,School of Computing,Out of Campus,2,4,1,0.0
1293,2,Bachelor of Arts (SDE),F,School of Design & Environment,Halls,1,1,1,2.0
1294,2,Bachelor of Science,M,School of Science,Out of Campus,2,3,2,2.0
1295,4,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,2,2,2.0
1296,2,Bachelor of Engineering,M,School of Engineering,Halls,3,5,3,3.0
1297,4,Bachelor of Science,F,School of Science,Out of Campus,4,5,2,1.0
1298,2,Bachelor of Science (Pharmacy),M,School of Science,Residential Colleges,1,4,2,3.0
1299,3,Bachelor of Social Sciences,M,School of Arts & Social Science,Halls,3,3,2,2.0
1300,1,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,1,3,2.0
1301,1,Bachelor of Science (SOC),M,School of Computing,Residential Colleges,2,3,3,3.0
1302,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
1303,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,5,2,2.0
1304,2,Bachelor of Business Admin,F,School of Business School,Halls,2,4,2,2.0
1305,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,5,2,2.0
1306,1,Bachelor of Science,F,School of Science,Out of Campus,0,0,3,2.0
1307,2,Bachelor of Science,M,School of Science,Halls,2,4,2,1.0
1308,3,Bachelor of Arts (SDE),M,School of Design & Environment,Out of Campus,0,2,2,2.0
1309,3,Bachelor of Science,M,School of Science,Out of Campus,4,2,2,2.0
1310,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Halls,2,2,3,3.0
1311,4,Bachelor of Laws,M,School of Law,Out of Campus,3,2,2,2.0
1312,3,Bachelor of Science,M,School of Science,Halls,2,3,2,2.0
1313,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,1,2.0
1314,4,Bachelor of Science,F,School of Science,Out of Campus,0,6,2,2.0
1315,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
1316,3,Bachelor of Science,F,School of Science,Out of Campus,1,5,1,2.0
1318,3,Bachelor of Science,F,School of Science,Out of Campus,2,2,2,2.0
1319,4,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,1.0
1320,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,4,3,2.0
1321,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
1322,1,Bachelor of Laws,F,School of Law,Residential Colleges,1,3,1,1.0
1323,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,7,2,3.0
1324,1,Bachelor of Arts,F,School of Arts & Social Science,Residences,3,4,3,3.0
1325,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,3,2,2.0
1326,4,Bachelor of Arts,F,School of Arts & Social Science,Halls,4,1,2,1.0
1327,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
1328,1,Bachelor of Science (Pharmacy),M,School of Science,Residential Colleges,2,4,2,2.0
1329,2,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
1330,3,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,3,3,2,2.0
1331,4,Bachelor of Laws,F,School of Law,Out of Campus,1,7,2,2.0
1332,1,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Residential Colleges,1,4,2,2.0
1333,4,Bachelor of Arts,F,School of Foreign College,Out of Campus,2,5,3,2.0
1334,4,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,2,1,2,1.0
1335,3,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,2.0
1336,1,Bachelor of Engineering (CEG),F,School of Multi Disciplinary Programme,Residential Colleges,1,6,2,2.0
1337,2,Bachelor of Engineering,M,School of Engineering,Residential Colleges,1,2,1,1.0
1338,4,Bachelor of Science,M,School of Science,Residential Colleges,3,9,3,2.0
1339,1,Bachelor of Arts (SDE),F,School of Design & Environment,Halls,1,3,1,3.0
1340,4,Bachelor of Science,M,School of Science,Out of Campus,4,5,2,3.0
1341,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,3,1,3.0
1342,1,Bachelor of Science (SOC),F,School of Computing,Out of Campus,0,2,1,1.0
1343,1,Bachelor of Science (SOC),F,School of Computing,Out of Campus,1,3,3,3.0
1344,1,Bachelor of Science,F,School of Science,Halls,1,1,2,1.0
1345,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,8,3,3.0
1346,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,0,2,2,2.0
1347,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,1,3.0
1348,1,Bachelor of Arts,M,School of Arts & Social Science,Halls,1,3,2,2.0
1349,2,Bachelor of Env Studies (FASS),F,School of Arts & Social Science,Halls,3,3,2,2.0
1350,2,Bachelor of Science (Nursing),F,School of Medicine1,Residential Colleges,1,2,3,3.0
1351,2,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,0,1,1,1.0
1352,1,Bachelor of Science,F,School of Science,Out of Campus,2,3,3,3.0
1353,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,1,2,2.0
1355,3,Bachelor of Engineering,F,School of Engineering,Residential Colleges,3,6,2,2.0
1356,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,2,2,2.0
1357,5,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,3,1.0
1358,4,Bachelor of Science,F,School of Science,Out of Campus,3,3,3,2.0
1359,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,5,3,2.0
1360,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,2,2.0
1361,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
1362,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,1.0
1363,1,Bachelor of Science (Nursing),F,School of Medicine1,Residential Colleges,1,2,2,2.0
1364,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,3,3,1,2.0
1365,1,Bachelor of Business Admin,F,School of Business School,Halls,3,6,2,2.0
1366,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,4,2,2.0
1367,4,Bachelor of Science,F,School of Science,Out of Campus,3,5,2,2.0
1368,2,Bachelor of Arts (SDE),M,School of Design & Environment,Out of Campus,1,1,1,2.0
1369,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,7,1,1.0
1370,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,3,2,2.0
1371,1,Bachelor of Engineering,M,School of Engineering,Halls,1,1,2,2.0
1372,1,Yale-University Bachelor's Program,M,School of Foreign College,Out of Campus,0,5,2,2.0
1373,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,3,1,3,2.0
1374,3,Bachelor of Science (Nursing),M,School of Medicine1,Out of Campus,1,3,2,2.0
1375,4,Bachelor of Engineering,F,School of Engineering,Halls,2,3,1,1.0
1376,1,Bachelor of Env Studies (FOS),F,School of Science,Halls,1,3,2,2.0
1377,3,Bachelor of Science (Pharmacy),M,School of Science,Halls,2,6,2,2.0
1378,1,Bachelor of Engineering,M,School of Engineering,Halls,2,1,2,2.0
1379,4,Bachelor of Laws,M,School of Law,Out of Campus,2,3,2,2.0
1380,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,3,3,2,2.0
1381,1,Bachelor of Arts (SDE),M,School of Design & Environment,Halls,0,1,2,2.0
1382,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,5,1,2.0
1383,4,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,2,2,2.0
